date freq power mode idcall country long latitude distance
2014-11-29 01:11:52      21036.6 15    CW   CO8LY          CM     20.48000  -76.18000  3053
2014-11-29 01:12:08      21036.6 15    CW   W6UDO          K      35.47000 -119.33000  7564
2014-11-29 01:12:30      21036.6 15    CW   JS3CTQ         JA     35.02000  135.77000 15458
2014-11-29 01:13:04      21036.6 15    CW   JR7UIL/1       JA     35.68000  139.67999 15292
2014-11-29 01:13:28      21036.6 15    CW   K3SEN          K      39.98000  -76.88000  4564
2014-11-29 01:13:53      21036.6 15    CW   K9CT           K      41.53000  -87.98000  5342
2014-11-29 01:14:06      21036.6 15    CW   AA0AW          K      41.08000  -96.40000  5891
2014-11-29 01:14:19      21036.6 15    CW   WB3AVD         K      39.98000  -76.88000  4564
2014-11-29 01:15:21      21036.6 15    CW   VK2BNG         VK    -34.00000  151.00000 15986
2014-11-29 01:15:43      21036.6 15    CW   N0AH           K      41.08000  -96.40000  5891
2014-11-29 01:16:02      21036.6 15    CW   JE4URN         JA     33.57000  133.53000 15657
2014-11-29 01:16:26      21036.6 15    CW   K9JWV          K      40.40000 -111.93000  7058
2014-11-29 01:16:53      21036.6 15    CW   JH7OUD         JA     40.82000  140.73000 14720
2014-11-29 01:17:08      21036.6 15    CW   PY1JR          PY    -22.88000  -43.28000  3286
2014-11-29 01:17:23      21036.6 15    CW   JR6GIM         JA     33.58000  130.53000 15692
2014-11-29 01:17:38      21036.6 15    CW   W4CU           K      33.18000  -82.23000  4361
2014-11-29 01:17:54      21036.6 15    CW   JE4MHL         JA     33.57000  133.53000 15657
2014-11-29 01:18:27      21036.6 15    CW   JH5MXB         JA     33.57000  133.53000 15657
2014-11-29 01:19:24      21036.6 15    CW   JR2SCJ         JA     35.18000  136.89999 15416
2014-11-29 01:20:01      21036.6 15    CW   N5ZC           K      31.92000  -96.23000  5410
2014-11-29 01:20:32      21036.6 15    CW   JI3CJP         JA     35.02000  135.77000 15458
2014-11-29 01:20:51      21036.6 15    CW   WA1S           K      42.38000  -71.67000  4540
2014-11-29 01:21:27      21036.6 15    CW   K9DU           K      45.20000  -93.57000  5949
2014-11-29 01:22:11      21036.6 15    CW   S0S            S0     24.82000  -13.85000  4683
2014-11-29 01:22:36      21036.6 15    CW   JR4PDP         JA     33.57000  133.53000 15657
2014-11-29 01:23:14      21036.6 15    CW   JF7PHE         JA     40.82000  140.73000 14720
2014-11-29 01:23:51      21036.6 15    CW   JQ1ABC         JA     35.68000  139.67999 15292
2014-11-29 01:24:06      21036.6 15    CW   K0PC           K      41.08000  -96.40000  5891
2014-11-29 01:24:27      21036.6 15    CW   JA4XHF/3       JA     35.02000  135.77000 15458
2014-11-29 01:25:03      21036.6 15    CW   JF7XKY         JA     40.82000  140.73000 14720
2014-11-29 01:25:18      21036.6 15    CW   K3LR           K      39.98000  -76.88000  4564
2014-11-29 01:25:27      21036.6 15    CW   K5ZD           K      42.27000  -71.37000  4518
2014-11-29 01:26:10      21036.6 15    CW   EA8/RA1A       EA8    28.10000  -15.40000  4688
2014-11-29 01:26:25      21036.6 15    CW   JG3RPL         JA     35.02000  135.77000 15458
2014-11-29 01:26:43      21036.6 15    CW   JR7IWC         JA     40.82000  140.73000 14720
2014-11-29 01:27:13      21036.6 15    CW   JH1ERJ         JA     35.68000  139.67999 15292
2014-11-29 01:27:28      21036.6 15    CW   RW0BG          UA9    69.40000   86.18000 11158
2014-11-29 01:28:45      21036.6 15    CW   N7RK           K      41.28000 -116.58000  7461
2014-11-29 01:29:21      21036.6 15    CW   N7YA           K      41.28000 -116.58000  7461
2014-11-29 01:30:14      21036.6 15    CW   JG1PED         JA     35.68000  139.67999 15292
2014-11-29 01:30:34      21036.6 15    CW   JQ2HVN         JA     35.18000  136.89999 15416
2014-11-29 01:30:50      21036.6 15    CW   JH1GNU         JA     35.68000  139.67999 15292
2014-11-29 01:31:09      21036.6 15    CW   NI7R           K      41.28000 -116.58000  7461
2014-11-29 01:31:30      21036.6 15    CW   HI3A           HI     19.13000  -70.68000  2490
2014-11-29 01:31:55      21036.6 15    CW   7K4QOK         JA     35.68000  139.67999 15292
2014-11-29 01:32:21      21036.6 15    CW   JG1DLY         JA     35.68000  139.67999 15292
2014-11-29 01:32:41      21036.6 15    CW   W9LHG          K      45.20000  -93.57000  5949
2014-11-29 01:33:11      21036.6 15    CW   JA8CXY         JA     41.77000  140.73000 14620
2014-11-29 01:33:29      21036.6 15    CW   K0CN           K      41.08000  -96.40000  5891
2014-11-29 01:33:52      21036.6 15    CW   VE5ZX          VE     51.33000 -105.70000  7069
2014-11-29 01:34:15      21036.6 15    CW   RT0F           UA9    50.55000  142.60001 13647
2014-11-29 01:34:46      21036.6 15    CW   JH0KHR         JA     36.65000  138.17999 15228
2014-11-29 01:35:21      21036.6 15    CW   JA1GQL         JA     35.68000  139.67999 15292
2014-11-29 01:35:41      21036.6 15    CW   KC0V           K      41.08000  -96.40000  5891
2014-11-29 01:36:02      21036.6 15    CW   K9DR           K      42.70000 -107.02000  6758
2014-11-29 01:36:18      21036.6 15    CW   JA3AVO         JA     35.02000  135.77000 15458
2014-11-29 01:36:30      21036.6 15    CW   NG0T           K      41.08000  -96.40000  5891
